"geo","nuts2_name","country","cntr_code","region","area","landlocked","pop","median_age","mig_rate","pop_grw_rate","le_T","le_gap","gdp","sh_trade_services","sh_industry","sh_knowledge","total_jobs","hrs_T","hrs_gap","sh_unemp"
"AT11","Burgenland","Austria","AT","Western Europe",8682.7069273068,"1",293433,47.5,7.4,3.4,81,5,8127610000,0.241295546558704,0.153846153846154,0.0672064777327935,123.5,37.6,9.2,3.6
"AT12","Niederösterreich","Austria","AT","Western Europe",43318.1346032981,"1",1677542,45.4,5.7,4,80.9,4.2,55499720000,0.245084464137358,0.158681805594018,0.0927720852949322,722.2,37.5,9.5,3.8
"AT13","Wien","Austria","AT","Western Europe",926.160426889477,"1",1897491,39.6,5.2,7.2,80.5,4.60000000000001,87784460000,0.252928304801133,0.0890719526322564,0.143647831123697,776.9,37.4,6.2,9
"AT21","Kärnten","Austria","AT","Western Europe",20344.8419929692,"1",560939,47.1,3.4,0.6,81.2,5.2,18872760000,0.244135534317984,0.17984361424848,0.0799304952215465,230.2,37.7,8.7,3.7
"AT22","Steiermark","Austria","AT","Western Europe",35657.5833546592,"1",1243052,44.9,4.1,2.7,81.4,5,44828480000,0.212861136999068,0.208201304753029,0.0894687791239515,536.5,36.6,9.1,3.1
"AT31","Oberösterreich","Austria","AT","Western Europe",26868.7446221542,"1",1482095,43.2,4.6,5.5,81.5,4.19999999999999,59889240000,0.222272865390459,0.240200546946217,0.0826496505621392,658.2,36.5,11.3,2.7
"AT32","Salzburg","Austria","AT","Western Europe",15615.1555303819,"1",555221,43.1,3.8,5.7,81.9,4.60000000000001,26208990000,0.308158319870759,0.1421647819063,0.0844103392568659,247.6,36.9,10.8,2.2
"AT33","Tirol","Austria","AT","Western Europe",27384.739504275,"1",754705,42.4,2.2,3.9,82.1,4.3,31772270000,0.299556868537666,0.160709010339734,0.0836041358936485,338.5,36.7,11.1,1.9
"AT34","Vorarlberg","Austria","AT","Western Europe",5673.87869154113,"1",394297,41.7,4,7.2,82.4,4,16691800000,0.239792984473836,0.276595744680851,0.0736055204140311,173.9,36.4,12.1,3
"BE10","Région de Bruxelles-Capitale/ Brussels Hoofdstedelijk Gewest","Belgium","BE","Western Europe",393.062181242328,"1",1215290,35.8,0.1,6.6,80.9,4.8,77282510000,0.202540258562032,0.0571558176457247,0.185529598548424,440.9,37.2,5,12.5
